candidates: 362  (of which variable instances: 125)
measurable: 361

===== f983  (243s) =====
face                             r_free   cap    kx |   r_stem   kx* | stem/cap    dkx
Arimo Bold                       0.7562  51.5  1.33 |   0.2167  1.11 |   0.2075   0.26
Liberation Sans Bold             0.7533  51.5  1.33 |   0.2018  1.11 |   0.2083   0.27
Nimbus Sans Bold                 0.7361  54.5  1.33 |   0.1682  1.12 |   0.2055   0.25
Inter w725 opsz14                0.7282  54.5  1.30 |   0.1477  1.08 |   0.2133   0.26
Inter w700 opsz14                0.7275  54.5  1.30 |   0.1350  1.04 |   0.2049   0.22
Inter w775 opsz14                0.7221  56.0  1.27 |   0.1450  1.00 |   0.2298   0.31
Inter w750 opsz14                0.7220  53.0  1.33 |   0.1417  1.04 |   0.2214   0.33
Go Bold                          0.7197  54.5  1.33 |   0.1504  1.11 |   0.2073   0.26
Roboto Medium                    0.7183  54.5  1.36 |   0.7046  1.34 |   0.1719   0.07
Rubik w625                       0.7142  53.0  1.30 |   0.1197  0.94 |   0.2357   0.36
Liberation Sans Narrow Bold      0.7117  56.0  1.48 |   0.1726  1.34 |   0.1717   0.19
Inter w675 opsz32                0.7083  56.0  1.36 |   0.1402  1.12 |   0.1986   0.24
Inter w800 opsz14                0.7067  56.0  1.27 |   0.1122  0.89 |   0.2380   0.34
Rubik w650                       0.7059  53.0  1.30 |   0.1182  0.95 |   0.2429   0.39
Rubik w675                       0.7056  51.5  1.33 |   0.1100  0.89 |   0.2500   0.44
Rubik w600                       0.7041  56.0  1.24 |   0.1494  0.97 |   0.2286   0.27
Inter w775 opsz32                0.7011  56.0  1.33 |   0.1106  0.95 |   0.2329   0.38
Inter w700 opsz32                0.6996  54.5  1.39 |   0.1329  1.08 |   0.2055   0.31
Inter w650 opsz32                0.6984  56.0  1.33 |   0.1703  1.20 |   0.1924   0.18
Inter w725 opsz32                0.6895  53.0  1.42 |   0.1332  1.03 |   0.2158   0.39
Rubik w575                       0.6893  50.0  1.39 |   0.1505  1.00 |   0.2214   0.39
Rubik w525                       0.6884  51.5  1.36 |   0.1764  1.12 |   0.2064   0.29
