STAGE A  234 faces  111s | field median 0.4723 sd 0.1474
face                                           r    cap    kx  blur
Arimo Bold                                0.8143   55.0  1.25   2.6
Go Bold                                   0.8058   55.0  1.34   2.6
Carlito Bold                              0.7949   55.0  1.34   2.6
Roboto Medium                             0.7892   52.0  1.43   2.6
DejaVu Sans Bold                          0.7379   52.0  1.16   2.6
Liberation Sans Bold                      0.7286   55.0  1.25   2.6
Cantarell Bold                            0.7255   55.0  1.34   2.6
Lato Heavy                                0.7204   55.0  1.34   2.6
Roboto Condensed Medium                   0.7106   55.0  1.52   2.6
Go Medium Regular                         0.7101   52.0  1.43   2.6
Roboto Bold                               0.7100   52.0  1.43   2.6
Noto Sans Bold                            0.7066   52.0  1.34   2.6
Cantarell Extra Bold                      0.7061   52.0  1.34   2.6
FreeSans Bold                             0.7036   52.0  1.34   2.6
Charis SIL Bold                           0.6990   55.0  1.25   2.6
Carlito Bold Italic                       0.6976   55.0  1.34   2.6
Open Sans Semibold                        0.6963   52.0  1.34   2.6
Nimbus Sans Bold                          0.6961   55.0  1.34   2.6
Lato Black                                0.6923   55.0  1.34   2.6
DejaVu Sans Book                          0.6846   55.0  1.25   2.6
Go Bold Italic                            0.6797   55.0  1.34   2.6
Roboto Light                              0.6765   52.0  1.52   2.6
Roboto Medium Italic                      0.6727   55.0  1.43   2.6
Arimo Bold Italic                         0.6679   55.0  1.25   2.6
FreeSans Bold Oblique                     0.6646   55.0  1.25   2.6
Go Regular                                0.6612   55.0  1.43   2.6
Gentium Plus Regular                      0.6559   52.0  1.43   2.6
DejaVu Serif Condensed Bold               0.6558   52.0  1.34   2.6
Roboto Italic                             0.6556   52.0  1.52   2.6
Arimo Regular                             0.6541   52.0  1.43   2.6
Open Sans Condensed Bold                  0.6532   55.0  1.52   2.6
Lato Regular                              0.6497   55.0  1.43   2.6
Liberation Sans Regular                   0.6431   52.0  1.43   2.6
Lato Bold                                 0.6368   55.0  1.43   2.6
Roboto Condensed Bold Italic              0.6344   55.0  1.52   2.6
Roboto Black Italic                       0.6330   55.0  1.34   2.6
Nimbus Sans Regular                       0.6316   55.0  1.43   2.6
Lato Medium                               0.6306   55.0  1.43   2.6
Roboto Bold Italic                        0.6223   55.0  1.34   2.6
Noto Sans Display Regular                 0.6215   55.0  1.43   2.6
Lato Light                                0.6182   55.0  1.43   2.6
DejaVu Sans Bold Oblique                  0.6177   52.0  1.16   2.6
DejaVu Sans Oblique                       0.6146   52.0  1.34   2.6
Tinos Regular                             0.6130   52.0  1.52   2.6
DejaVu Serif Bold                         0.6127   55.0  1.16   2.6
Open Sans Extrabold                       0.6103   55.0  1.16   2.6
Open Sans Bold                            0.6064   55.0  1.25   2.6
Noto Serif Bold                           0.6038   55.0  1.25   2.6
FreeSerif Bold                            0.5970   52.0  1.43   2.6
URW Bookman Light                         0.5963   52.0  1.34   2.6
